glyph,definition_x,definition_y,meaning_x,category,description,meaning_y,definition_x.1,definition_y.1,definition,meaning,glyph,meaning,category,description,definition
1,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
2,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
?,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
A,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
B,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
C,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
D,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
E,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
F,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
G,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
H,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
I,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
J,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
K,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
L,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
M,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
N,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
O,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
P,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
R,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
S,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
T,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
U,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
V,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
W,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
[,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
[ὠ2]+[ὠ1],,Dual Omega Streams — primordial energetic dyad,,Uncategorized,No description available.,,,,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
],,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
a,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
b,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
c,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
d,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
e,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
f,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
g,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
h,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
i,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
j,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
k,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
l,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
m,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
n,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
o,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
p,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
r,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
s,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
t,,,,Uncategorized,No description available.,,"⛬ Undefined — Requires mythic, alchemical, or recursive context mapping",,Undefined,Undefined,,Undefined,Uncategorized,No description available.,Undefined
