cell_id,x,y,z,o_glyph,o_semantic_core,o_phase,o_triad_polarity,o_harmonic_class,o_layer,o_gloss,d_glyph,d_semantic_core,d_phase,d_triad_polarity,d_harmonic_class,d_layer,d_gloss,cross_entangled,o_tension_potential,d_tension_potential
0,0,0,0,∃,,,,,,there exists,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
1,1,0,0,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Π,null,collapse,Yang,10.0,0.0,product / portal,False,245,173
2,2,0,0,Ω,origin,collapse,Yang,10.0,0.0,omega / end,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,256,149
3,3,0,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),∅,origin,emergent,Yin,11.0,0.0,null set / void,False,70,87
4,4,0,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,80,149
5,5,0,0,∞,,,,,,infinity,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,0,241
6,6,0,0,✸,,,,,,star / radiant force,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,0,266
7,7,0,0,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Σ,null,collapse,Yang,7.0,0.0,summation,False,70,87
8,8,0,0,∅,origin,emergent,Yin,11.0,0.0,null set / void,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,80,149
9,9,0,0,∅,origin,emergent,Yin,11.0,0.0,null set / void,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),True,80,265
10,10,0,0,🔁,,,,,,repeat / loop,Π,null,collapse,Yang,10.0,0.0,product / portal,False,0,173
11,11,0,0,Σ,null,collapse,Yang,7.0,0.0,summation,Π,null,collapse,Yang,10.0,0.0,product / portal,True,89,173
12,0,1,0,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,80,69
